rssi,snr_meas_db,evm_pct,snr_awgn_db,best_mod,best_ber
-6.793924718718784,5.958921410955162,50.35631359420816,15.002291198512008,bpsk,0.0
-6.995386346486228,5.9067194130501015,50.659865141495374,18.616456565884643,bpsk,0.0
-5.929961446858067,4.794793290859192,57.57849850753237,5.404972559774205,bpsk,0.0
-6.96898977663401,5.791748350461629,51.334883702222776,20.965282689510286,bpsk,0.0
-4.393827305312855,3.2630263250361318,68.68290943261998,0.12636730957379338,bpsk,0.046875
-7.007697194725578,5.507928765535457,53.04000565781595,19.12966629004911,bpsk,0.0
-6.799394701368938,5.505746804553972,53.05333138092795,11.230438868249298,bpsk,0.0
-6.120897183742859,5.386083666835468,53.78929060382826,6.68221469041856,bpsk,0.0078125
-6.037503933907167,5.067742631535051,55.79725943220515,6.11687010369899,bpsk,0.0078125
-6.661849640637804,5.7631880166057226,51.50395728639731,12.10915821499088,bpsk,0.0
-6.786345926335853,5.849514206542294,50.9946117573459,13.28393644978782,bpsk,0.0
-6.970046850398867,5.634172508033666,52.2746789935739,19.023886061130074,bpsk,0.0
-6.910233401268423,5.862462294585232,50.918650531525564,14.932301506587905,bpsk,0.0
-5.988304263560154,5.258100163932038,54.58772459687905,5.167408757654375,bpsk,0.0
-5.732353277337169,4.865175563758171,57.11382175293539,3.845088812588269,bpsk,0.0
-4.542330224275136,3.6737353513170095,65.51084970079822,1.0546081910732008,bpsk,0.0703125
-4.075044963861129,3.54236039475385,66.50923924588615,0.8563266905663074,bpsk,0.0625
-6.680622388374529,5.503004003738124,53.07008702763207,11.188944607806938,bpsk,0.0
-7.020910841865604,5.894920234747635,50.728729816020646,22.012026556628456,bpsk,0.0
-6.777203750886429,5.793139828996585,51.32666051836969,12.338823518388333,bpsk,0.0
-6.744556418163514,5.854172008427204,50.967273265340104,11.924962449444102,bpsk,0.0
-4.154131966851937,4.162631353637146,61.925344643737944,0.2830566130201406,bpsk,0.015625
-5.791319879639312,4.812116293964134,57.46377928141896,4.617651455647455,bpsk,0.015625
-6.007116848944874,4.799512494267659,57.54722354842037,4.814561375687885,bpsk,0.0
